S. no,Name,Brand,Image,,Country,Sport,Gender,MRP,Sizes,Colours,Amazon Link,Price,Available sizes,Flipkart Link,Price,Available sizes,Myntra Link,Price,Available sizes,Tata Cliq Link,Price,Available sizes,NBA Store Link,Price,Available sizes,Ajio Link,Price,Available sizes,Superkicks Link,Price,Available sizes,Official Website,Price,Available sizes,Foot Type,Foot Width,Injury History,Playing Surface,Playing Style,Playing Position,Shoe Preference,Player Level,Product Analysis Note
255,CriNU 23 M,Adidas,,,India,Cricket,Men,4799,"4,5,6,7,8,910,11,12",White / Collegiate Royal / Bright Orange,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.adidas.co.in/crinu-23-m/JK0171.html,4799,"6,7,8,9,10,11",Neutral,Wide fit,Reinforced midsoles,Best for hard,Versatile ,all positions,Synthetic leather,robust for intense,
256,CriNU 23 M,Adidas,,,India,Cricket,Men,4799,"4,5,6,7,8,910,11,12",Halo Mint / Slate / Black / Off White,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.adidas.co.in/crinu-23-m/JK0171.html,4799,"6,7,8,9,10,11",Neutral,Wide fit, Features reinforced ,Optimized for hard,Supports dynamic, all roles,Synthetic leather,regular,
257,CriNU 23 M,Adidas,,,India,Cricket,Men,4799,"4,5,6,7,8,910,11,12",White / Putty Beige / Black,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.adidas.co.in/crinu-23-m/JK0169.html,3359,"6,7,8,9,10,11,12",Neutral,Wide fit, Features reinforced ,Optimized for hard,Supports dynamic,all roles,Synthetic leather, regular,
258,CriNU 23 M,Adidas,,,India,Cricket,Men,4799,"6,7,8,910,11,12",Cloud White / Spark / Core Black,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.adidas.co.in/crinu-23-m/IV4905.html,2399,"6,7,8,9,10,11",balanced design for stability.,"Wide fit,",reducing strain for players ,dry cricket pitches,Supports dynamic,all positions,Synthetic leather,advanced players,
259,CriNU 23 M,Adidas,,,India,Cricket,Men,4799,"6,7,8,910,11,12",Cloud White / Lucid Lemon / Off White,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.adidas.co.in/crinu-23-m/IV4906.html,2399,"6,7,8,9,10,11",balanced design for stability.,"Wide fit,",reducing strain for players,dry cricket pitches,Supports dynamic, all positions,Synthetic leather, advanced players,
260,CriNU 23 M,Adidas,,,India,Cricket,Men,4799,"6,7,8,910,11,12",Cloud White / Semi Lucid Blue,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.adidas.co.in/crinu-23-m/IV4907.html,3359,"6,7,8,9,10,11",balanced design for stability.,"Wide fit,",reducing strain for players,dry cricket pitches,Supports dynamic,all positions,Synthetic leather, advanced players,
261,"GEL-COVER
Men Cricket Shoes",asics,,,India,Cricket,Men,5999,"6,7,8,910,11",WHITE/MIDNIGHT,Na,Na,Na,https://www.flipkart.com/asics-gel-cover-cricket-shoes-men/p/itm37e54f0c15fa5?pid=SHOHFT658YPPUZZA&lid=LSTSHOHFT658YPPUZZA8UGFBK&marketplace=FLIPKART&sattr[]=color&st=color,3299,7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1111a251-101-gel-cover.html,4199,"6,7,8,9,11",neutral runners,standard width,reduces impact,Likely designed for road running,comfort ,Not applicable for team sports,cushioning and stability,intermediate runners,
262,"GEL-COVER
Men Cricket Shoes",asics,,,India,Cricket,Men,5999,"6,7,8,910,11",WHITE/BLUE EXPANSE,Na,Na,Na,https://www.flipkart.com/asics-gel-cover-cricket-shoes-men/p/itmea39d86ea93c7?pid=SHOHFT65JWNR5XYA&lid=LSTSHOHFT65JWNR5XYAC7XLCC&marketplace=FLIPKART&sattr[]=color&st=color,3299,"6,7",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1111a251-100-gel-cover.html,4199,"6,7,8,11",neutral runners,standard width,reduces impact,running,comfort,Not applicable,cushioning and stability, intermediate runners,
263,"STRIKE RATE FF
Men Cricket Shoes",asics,,,India,Cricket,Men,11999,"5,6,7,8,910,11,12",WHITE/BLACK,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.tatacliq.com/asics-mens-strike-rate-ff-white-cricket-shoes/p-mp000000022978880?utm_source=chatgpt.com,11399,"6,7,8,9,10,11",Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1111a245-100-strike-rate-ff.html,11999,"6,7,8,9,10,11",neutral pronation,Standard,GEL™ technology ,outsole,Suited for agile,Primarily ,lightweight durability,Suitable for all levels,
264,"GEL-100 NOT OUT
Men Cricket Shoes",asics,,,India,Cricket,Men,8999,"6,7,8,910,11,12",WHITE/SAFETY YELLOW,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1111a244-100-gel-100-not-out.html,6299,"7,8,9,11,12",neutral pronation,tandard ,Rearfoot GEL™ ,turf wickets,"Steady all-round play,","All-rounders,",Affordable,Beginners only,
265,"GEL-GULLY 7
Men Cricket Shoes",asics,,,India,Cricket,Men,11999,"6,7,8,910,11,12,13",WHITE/SAFETY YELLOW,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1111a215-102-gel-gully-7.html,11999,"6,7,8,910,11,12,",Neutral pronation,Standard ,impact reduction,Turf wickets,all-round play,Suits spin bowlers,Lightweight,Beginner to advanced,
266,"SPEED MENACE FF
Men Cricket Shoes",asics,,,India,Cricket,Men,14999,"7,8,9,10,11,12,13",WHITE/TUNA BLUE,https://www.amazon.in/ASICS-Speed-Menace-White-Cricket/dp/B0C7KS4H6J?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&utm_source=chatgpt.com&th=1,13499,"7,8,9,10,11,12",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/speed-menace-ff-1111a187-102.html,14999,7,Neutral,Standard,DUOMAX™ midsole ,Turf wickets,High forward jump steps ,Medium fast bowlers,"Lightweight,",Beginner to advanced,
267,"SPEED MENACE FF
Men Cricket Shoes",asics,,,India,Cricket,Men,15999,"7,8,9,10,11,12,13",WHITE/BLACK,https://www.amazon.in/ASICS-Speed-Menace-White-Cricket/dp/B0D9BM1JSG?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&utm_source=chatgpt.com&th=1&psc=1,13499,"7,8,9,10,11,12",Na,Na,Na,https://www.myntra.com/sports-shoes/asics/asics-speed-menace-ff-men-cricket-sports-shoes/30166474/buy?utm_source=chatgpt.com,15999,"7,8,9,10,11,12",https://www.tatacliq.com/asics-mens-speed-menace-ff-white-cricket-shoes/p-mp000000022979041?utm_source=chatgpt.com,15199,"7,8,9,10,11,12",Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1111a187-103-speed-menace-ff.html,15999,"7,8,9,10,11,12,",Neutral ,Standard ,rearfoot GEL™,Turf wickets,High forward jump steps,Medium fast bowlers,"Lightweight,",Beginner to advanced,
268,"350 NOT OUT FF
Men Cricket Shoes",asics,,,India,Cricket,men,15999,"6,7,8,910,11,12,13",WHITE/BLACK,Na,Na,Na,https://www.flipkart.com/asics-350-not-out-ff-cricket-shoes-men/p/itmdb698360bd640?pid=SHOH2NFFMH3WBAJH&lid=LSTSHOH2NFFMH3WBAJH4LCBR0&marketplace=FLIPKART&utm_source=chatgpt.com,15999,"6,7,8,9,10,11",Na,Na,Na,https://www.tatacliq.com/asics-mens-350-not-out-ff-white-cricket-shoes/p-mp000000022979009?utm_source=chatgpt.com,15999,"6,7,8,9,10,11",Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1111a092-106-350-not-out-ff.html,15999,"6,7,8,910,11",Neutral,Standard ,"Good for overpronation,",Artificial grass,"Agile, fast-paced",bowlers,Lightweight,Intermediate to advanced,
269,"350 NOT OUT FF
Men Cricket Shoes",asics,,,India,Cricket,men,14999,"6,7,8,910,11,12,13",WHITE/TUNA BLUE,Na,Na,Na,https://www.flipkart.com/asics-mens-350-not-out-ff-cricket-shoes-men/p/itmef8c44248c5b6?pid=SHOH8NHEAWAFVKDZ&lid=LSTSHOH8NHEAWAFVKDZVSW7TS&marketplace=FLIPKART&utm_source=chatgpt.com,12344,"10,12",https://www.myntra.com/sports-shoes/asics/asics-men-350-not-out-ff-cricket-shoes/24031036/buy?utm_source=chatgpt.com,11999,"7,8,11",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/350-not-out-ff-1111a092-105.html,11999,"7,11","Neutral, ",Standard ,"Good for overpronation,",Artificial grass,"Agile, fast-paced", bowlers,Lightweight,Intermediate to advanced,
270,"STRIKE RATE FF
Men Cricket Shoes",asics,,,India,Cricket,men,11999,"6,7,8,910,11,12,13",WHITE/PURE SILVER,https://www.amazon.in/ASICS-Mens-Strike-Rate-FF/dp/B0C7KSKD7H?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&utm_source=chatgpt.com&th=1&psc=1,10999,"6,7,8,10,11,12",Na,Na,Na,https://www.myntra.com/sports-shoes/asics/asics-men-strike-rate-ff-cricket-shoes/25034334/buy?utm_source=chatgpt.com,11999,"6,7,8,10,11,12",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/strike-rate-ff-1111a067-106.html,11999,"7,12",Neutral ,Standard,Good for ankle/knee stress;,Indoor courts,Explosive,blockers,Lightweight,Intermediate to advanced,
271,"GEL-LETHAL FIELD
Men Cricket Shoes",asics,,,India,Cricket,Men,5499,"7,8,9,10,11,12",WHITE/TUNA BLUE,Na,Na,Na,Na,Na,Na,https://www.myntra.com/sports-shoes/asics/asics-men-gel-lethal-field-training-shoes/27146192/buy?utm_source=chatgpt.com,4399,"6,7,8,9,10,11,12",https://www.tatacliq.com/asics-mens-gel-lethal-field-white-training-shoes/p-mp000000020842413?utm_source=chatgpt.com,4399,"6,7,8,9,10,11,12",Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1111a200-103-gel-lethal-field.html,4399,"6,7,8,910,11",Neutral ,Standard ,Reduces strain with GEL,"Hard ground, turf", multi-directional,Versatile,"Lightweight,",Average to advanced,
272,"GEL-LETHAL FIELD
Men Cricket Shoes",asics,,,India,Cricket,Men,5499,"7,8,9,10,11,12",BLACK/GLOW YELLOW,Na,Na,Na,Na,Na,Na,https://www.myntra.com/sports-shoes/asics/asics-men-gel-lethal-field-shoes/27146186/buy?utm_source=chatgpt.com,5499,"7,10,11",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1111a200-003-gel-lethal-field.html,5499,"7,10,11",Neutral ,Standard ,Reduces strain with GEL,"Hard ground, turf",multi-directional,Versatile,"cushioned,",Average to advanced,
273,"GEL-PEAKE 2
Unisex Cricket Shoes",asics,,,India,Cricket,Unisex,6999,"5,6,7,8,910,11,12,13",WHITE/TUNA BLUE,Na,Na,Na,https://www.flipkart.com/asics-gel-peake-2-football-shoes-men/p/itmb3fabf45fa4ef?utm_source=chatgpt.com,6989,"7,8,9",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1113a036-104-gel-peake2.html,6999,"5,6,7,8,910,11,12",Neutral pronation,Standard,GEL cushioning ,Hard-wicket cricket,Agile,Versatile,Non-spike,Intermediate to advanced.,
274,"GEL-PEAKE 2
Unisex Cricket Shoes",asics,,,India,Cricket,Unisex,6999,"5,6,7,8,910,11,12,13",BLACK/GLOW YELLOW,https://www.amazon.in/ASICS-Unisex-Adult-Gel-Peake-Track-Cricket/dp/B0BNBH7PB6?utm_source=chatgpt.com&th=1,4899,"3,4 5,6,7,8,9,10,11,12,13",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/gel-peake-2-1113a036-003.html,6999,"8,9,10,11",Neutral pronation,Standard ,GEL cushioning ,Hard-wicket cricket,Agile,Versatile,Non-spike,Intermediate to advanced.,
275,"GEL-PEAKE 2
Unisex Cricket Shoes",asics,,,India,Cricket,Unisex,6999,"5,6,7,8,910,11,12,13",WHITE/GLOW YELLOW,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/gel-peake-2-1113a036-102.html,6999,"5,6,7",Neutral pronation,Standard ,GEL cushioning,Hard-wicket cricket,Agile,Versatile,Non-spike,Intermediate to advanced.,
276,"GEL-PEAKE 2
Unisex Cricket Shoes",asics,,,India,Cricket,Unisex,6999,"5,6,7,8,910,11,12,13",WHITE/STADIUM ORANGE,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1113a036-105-gel-peake-2.html,6999,"6,7,8,9,10,11",Neutral pronation,Standard,GEL cushioning ,Hard-wicket cricket,Agile,Versatile,Non-spike,Intermediate to advanced.,
277,"GEL-PEAKE 2
Unisex Cricket Shoes",asics,,,India,Cricket,Unisex,6999,"5,6,7,8,910,11,12,13",BLUE EXPANSE/WHITE,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1113a036-401-gel-peake-2.html,6999,"7,8,9,10,11,12",Neutral pronation,Standard,GEL cushioning,Hard-wicket cricket,Agile,Versatile,Non-spike,Intermediate to advanced.,
278,"GEL-PEAKE 2
Unisex Cricket Shoes",asics,,,India,Cricket,Unisex,6999,"5,6,7,8,910,11,12,13",WHITE/ATLANTIS BLUE,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1113a036-106-gel-peake-2.html,6999,"5,6,7,8,9,10,11",Neutral pronation,Standard ,GEL cushioning ,Hard-wicket cricket,Agile,Versatile,Non-spike,Intermediate to advanced.,
279,"GEL-PEAKE 2
Unisex Cricket Shoes",asics,,,India,Cricket,Unisex,6999,"5,6,7,8,910,11,12,13",WHITE/BLACK,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://www.asics.co.in/1113a036-107-gel-peake-2.html,6999,"5,6,7,8,9,10,11,12",Neutral pronation,Standard,GEL cushioning ,Hard-wicket cricket,Agile,Versatile,Non-spike,Intermediate to advanced.,
280,Men Cricket 4020 Field Shoes,New Balance,,,India ,Cricket,Unisex,5499,"6,7,8,9,10,11,12",White/ Red,Na,Na,Na,Na,Na,Na,https://www.myntra.com/sports-shoes/newbalance/new-balance-men-cricket-4020-field-shoes/29534402/buy,5499,6,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Netural,Regular,Basic Impact ,Turf & Hard Pitch,All-Rounder,"Batter, Fielder",Lightweight,Beginner to Intermediate,"lightweight, breathable, and cushioned"
281,New Balance CK10GN6 Men's Cricket Shoes,New Balance,,,India ,Cricket,Unisex,14999,"7,8,9,10,11,12",White,https://www.amazon.in/CW-Balance-CK10GN6-Cricket-Outdoor/dp/B0D9D2HMN4?th=1&psc=1,"13,999","7,8,9,10,11,12",Na,Na,Na,https://www.myntra.com/sports-shoes/new+balance/new-balance-men-10-cricket-shoes/30052261/buy,8249,"6,7,8",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Netural,Regular,Basic Impact ,Turf & Hard Pitches,All-Rounder,batter,breathability,Intermediate,
282,new balance Men 4030 White Cricket Shoes (CK4030W5),New Balance,,,India ,Cricket,Unisex,"9,999","8,11",White,http://amazon.in/new-balance-White-Cricket-CK4030W5/dp/B0CPCZ82BX?th=1&psc=1,"7,995","8,11",Na,Na,Na,Na,Na,Na,https://www.tatacliq.com/new-balance-mens-4030-white-cricket-shoes/p-mp000000020599080,7499,10,,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Netural,Regular,knee injury ,well-suited for cricket grounds,suitable for batting,"Batter, Fielder",emphasis,club-level players or casual weekend,
283,"4030 Cricket Shoes For Men (Multicolor , 7)",New Balance,,,India ,Cricket,Unisex,"9,999",7,White,Na,Na,Na,https://www.flipkart.com/new-balance-4030-cricket-shoes-men/p/itm1972815d5b7b4?pid=SHOGVQ928R9GG8G5&lid=LSTSHOGVQ928R9GG8G5DYY3AM&marketplace=FLIPKART&q=new+balance+Men+4030+White+Cricket+Shoes+%28CK4030W5%29&store=osp%2Fcil%2F1cu&srno=s_1_26&otracker=search&otracker1=search&fm=Search&iid=050d14b9-7885-41ba-bbc6-e26a55660816.SHOGVQ928R9GG8G5.SEARCH&ppt=sp&ppn=sp&ssid=kjqfbddlf40000001748864738187&qH=9ce4d0d161cdd3fa,"6,004",7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Netural,Regular,Basic Impact ,designed for multi-surface play,light bowling,light bowling,Lightweight,Beginner to Intermediate,
284,new balance Men's Ck4020I4 Rubber,New Balance,,,India ,Cricket,Unisex,7999,"5,6,7,8,9,10,11,12",White ,https://www.amazon.in/new-balance-CK4020I4-Cricket-2020-21/dp/B08K3FHHPJ?th=1&psc=1,"7,777","5,6,7,8,9,10,11,12",Na,Na,Na,Na,Na,Na,https://www.tatacliq.com/new-balance-mens-4020-white-cricket-shoes/p-mp000000024859608,7599,"8,9,10,11",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Netural,Regular,Basic Impact ,Turf & Hard Pitches,"suitable for batting, fielding","Batter, Fielder","Lightweight,",Beginner to Intermediate,
285,new balance Men's Ck4020I4 Rubber,New Balance,,,India ,Cricket,Unisex,7999,"5,6,7,8,9,10,11,12",Blue,https://www.amazon.in/new-balance-CK4020I4-Cricket-2020-21/dp/B07VS2YLZR?th=1,"7,295","5,6,7,8,9,10,11,12",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Netural,Regular,Basic Impact ,Hard Pitches,"suitable for batting, fielding","Batter, Fielder",Lightweight,Beginner to Intermediate,
286,Unisex CK4020J4 Cricket Shoes,New Balance,,,India ,Cricket,Unisex,6299,"7,8,10",multicolor,Na,Na,na ,https://www.flipkart.com/new-balance-4020-cricket-shoes-men/p/itmdb297fb01d34c?pid=SHOGVQ9FAHHHCGHE&lid=LSTSHOGVQ9FAHHHCGHEZ8Y3TX&marketplace=FLIPKART&q=Unisex+CK4020J4+Cricket+Shoes&store=osp%2Fcil%2F1cu&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=1b98fbec-abab-48ed-bac8-3f23b172a2c0.SHOGVQ9FAHHHCGHE.SEARCH&ppt=sp&ppn=sp&ssid=3bv1iklesg0000001748947375210&qH=f810407d5c435ca5,4249,"7,8,10",https://www.myntra.com/sports-shoes/new+balance/new-balance-unisex-ck4020j4-cricket-shoes/31139732/buy,4094,8,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Netural,Regular,Moderate,Multi-surface,All-round,Universal,Functional,Recreational,
287,CK 10 Cricket Shoes For Men ,New Balance,,,India ,Cricket,Unisex,"13,999","7,8,9,10,11",White/Blue,https://www.amazon.in/new-balance-White-Cricket-CK10R5/dp/B0CPCZ8C76/ref=sr_1_42?crid=2KLN5DDA1C08L&dib=eyJ2IjoiMSJ9.uDIVvTYvJwnC6FBsl3fsscbYvSmKSmmox8s1QYjwJx449JHXk-z9O5e1vu-_F_9KSX8aA2OZy9jehkmslxwW-zX9ZFrYYw43QupU9vwaNe73z4TbnusI2-CELOG0OxkeJMfolwjRn8LvMlppZ2qu4prsjJX-2ipinnwEcGlVw0BHYuSuqFgCKES3bhHvDu2Vc8LHeWHyWxfLLfUoC_J4aJtZ8P8UUwI2rWxGuD-j-Sy_T_N0FuN2ir3vNk4Iu-sBbirfWXFurXkp7RHglwYxin2MiE-vTACjpAyEGuYotXg.PbefK5a-Wf3SGfDpWdO6cu14EETdqiSUxl4kO0wAa4M&dib_tag=se&keywords=CK%2B10%2BCricket%2BShoes%2BFor%2BMen&nsdOptOutParam=true&qid=1748949017&s=shoes&sprefix=ck%2B10%2Bcricket%2Bshoes%2Bfor%2Bmen%2B%2Cshoes%2C333&sr=1-42&th=1&psc=1,"11,480","8,9,10,11",https://www.flipkart.com/new-balance-ck-10-cricket-shoes-men/p/itm80709ed9f1175?pid=SHOGVQ929D4HWSG6&lid=LSTSHOGVQ929D4HWSG65BBLXB&marketplace=FLIPKART&q=new+balance+in+cricket&store=osp%2Fcil%2F1cu&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=484f21a2-e54b-4897-8057-d705b360a966.SHOGVQ929D4HWSG6.SEARCH&ppt=sp&ppn=sp&ssid=3vga98zwb40000001748948455575&qH=490060ac8940806d,"6,999","7,8,9,10,11",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Netural,Regular,Moderate support,Multi-surface,All-round,Universal,Durable performance,Intermediate,
288,new balance Men's Ck4040W5 Metal Spike Cricket Shoe,New Balance,,,India ,Cricket,Unisex,12999,"7,10",White/Blue,https://www.amazon.in/new-balance-CK4040W5-Cricket-Standard/dp/B0CKZ4L6RR/ref=sr_1_15?dib=eyJ2IjoiMSJ9.zl3ryFUWYF2YPw7w7KIJNszvp9IyIBfRlmr9o3UCG0KmQR9g_9LvtbfRz5CHgrww3KJf8mqRGzChyxIL4yTrWstIBCTvBHiVticLbmRdQSSWwn2uDcRYdBSuhBpc4IYFMxncdO2IiMJo5p9QZgMZhkh9Yj7Hb7EVPjzpFjgxVu_MAgP4U18ev4dksPwDSVJc-a_GeF53c1_FaZtOHDVoYdl3250Tqirr-9-skXK5lE0AqiOoNrv760rmBfUWE-QEzkTPF0FjCcAKtotIK4Q0fOgZdLQ6RGzOqysMpmvwA.HmZmPnYQYR6XGoFdPNOA4Nc2ELmEZcx3DdV1MwBq5DY&dib_tag=se&keywords=new+balance+shoes+in+cricket&nsdOptOutParam=true&qid=1748950071&s=apparel&sr=1-15,"11,999",10,https://www.flipkart.com/new-balance-4040-cricket-shoes-men/p/itm6043969e0df0c?utm_source=chatgpt.com,"6,499",7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Netural,Regular,High support,Multi-surface,All-round,Universal,Lightweight,Intermediate,
289,new balance Unisex 2020-21 Edition CK4030L4 Full Spike Cricket Shoes,New Balance,,,India ,Cricket,Unisex,12999,10,White/Red,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Netural,Regular,High support,Grass/turf,All-round,Universal,Performance-driven,Intermediate,
290,Vector X Flipper 2.0 Cricket Shoes for Men's Rubber Stud,Vector X,,,India,Cricket,Men,1699,"4,5,6,7,8,9,10,11",white,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://vector-x.com/products/vector-x-flipper-2-0-cricket-shoes-for-mens-rubber-stud-lightweight-performance-comfort-and-durability-shoe-for-all-round-performance-4,1529,"4,5",Neutral ,Standard,Basic cushioning suitable,Suitable for batters,Players preferring ,Beginner to Intermediate level,Performance,Professional or high-impact play,
291,Vector X Drive 2.0 Cricket Shoe,Vector X,,,India,Cricket,Men,1599,"5,6,7,8,9,10",white orange,https://www.amazon.in/Vector-DRIVE-2-0-Synthetic-Lightweight-White-Orange/dp/B0CTQDN8HJ/ref=sr_1_1?crid=1LKCRO1XNXHKE&dib=eyJ2IjoiMSJ9.sN-r2zNh-3XTUfKjyJxZt3izrGnI7_Yfl5jn4D-OZ4r2-8fhoezeTEEwN-wLOQT0iRrTcr1dWG0Pa9eMCHPv8BkYudpR3GvUT2GWN3E3pd-wr4kNJOrLgbaWrUNyduaLtvURuRlsB1mNge-80q60ZFMUkVAqlqlndmR-Bn9bfIAmWGn63HkZgQYlMUPtp2LLq5M-Tnjlo6nbIe7qSydpYBi7tR9-z57n4-ZnWlNK8viChCB30e4JFKVxHOCTL99c-9zq8EbnY55TxR2QtsAtFrAEvGGq2V7IRHPzDpc.vZo4t54tjcv247gZS-i6UkiE5fCKJ3AWS1vgVKTn0Wg&dib_tag=se&keywords=vector%2Bx%2Bdrive%2B2.0%2Bcricket%2Bshoes&nsdOptOutParam=true&qid=1749188925&sprefix=Vector%2BX%2BDrive%2B2.0%2BCricket%2BShoe%2Caps%2C224&sr=8-1&th=1&psc=1,872,"5,6,7,8,10",https://www.flipkart.com/vector-x-drive-2-0-fast-strap-synthetic-leather-upper-mesh-pvc-rubber-sole-cricket-shoes-men/p/itm85d7c8a818d7d?pid=SHOGXZ8H5H6YRG8F&lid=LSTSHOGXZ8H5H6YRG8FPEHDHK&marketplace=FLIPKART&q=Vector+X+Drive+2.0+Cricket+Shoe&store=osp%2Fcil%2F1cu&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=e3ac5ed2-5809-4f54-87b7-182ac0bbc2f8.SHOGXZ8H5H6YRG8F.SEARCH&ppt=sp&ppn=sp&ssid=w1j2sabs8w0000001749189046432&qH=d07d9b49949d670a,872,"5,6,7",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,https://vector-x.com/products/vector-x-drive-2-0-cricket-shoe,1439,"5,6,7",Neutral ,Standard,"`Basic support,","Hard ground, turf, matting","Aggressive, active"," All-rounder, bowler, batsman",metal spikes,Beginner to Intermediate,
